q0_deg,q1_deg,q2_deg,x_m,y_m,z_m
-10.000000000,12.000000000,58.000000000,0.091294412,-0.009308384,0.023217733
-10.000000000,12.000000000,60.000000000,0.088360639,-0.008791081,0.024122565
-10.000000000,12.000000000,62.000000000,0.085508019,-0.008288087,0.025193704
-10.000000000,12.000000000,64.000000000,0.082747693,-0.007801367,0.026424175
-10.000000000,12.000000000,66.000000000,0.080090279,-0.007332793,0.027805898
-10.000000000,12.000000000,68.000000000,0.077545731,-0.006884121,0.029329691
-10.000000000,12.000000000,70.000000000,0.075123189,-0.006456961,0.030985304
-10.000000000,12.000000000,72.000000000,0.072830824,-0.006052755,0.032761477
-10.000000000,12.000000000,74.000000000,0.070675687,-0.005672747,0.034646016
-10.000000000,12.000000000,76.000000000,0.068663553,-0.005317953,0.036625900
-10.000000000,12.000000000,78.000000000,0.066798778,-0.004989143,0.038687415
-10.000000000,12.000000000,80.000000000,0.065084174,-0.004686812,0.040816318
-10.000000000,12.000000000,82.000000000,0.063520896,-0.004411164,0.042998030
-10.000000000,12.000000000,84.000000000,0.062108366,-0.004162097,0.045217853
-10.000000000,12.000000000,86.000000000,0.060844227,-0.003939195,0.047461206
-10.000000000,12.000000000,88.000000000,0.059724337,-0.003741728,0.049713889
-10.000000000,12.000000000,90.000000000,0.058742822,-0.003568660,0.051962342
-10.000000000,14.000000000,0.000000000,0.161933015,-0.021763876,0.065283507
-10.000000000,14.000000000,2.000000000,0.160972858,-0.021594574,0.061868924
-10.000000000,14.000000000,4.000000000,0.159835076,-0.021393952,0.058548583
-10.000000000,14.000000000,6.000000000,0.158527154,-0.021163330,0.055324852
-10.000000000,14.000000000,8.000000000,0.157055881,-0.020903905,0.052201337
-10.000000000,14.000000000,10.000000000,0.155427664,-0.020616807,0.049182481
-10.000000000,14.000000000,12.000000000,0.153648738,-0.020303134,0.046273293
-10.000000000,14.000000000,14.000000000,0.151725319,-0.019963983,0.043479168
-10.000000000,14.000000000,16.000000000,0.149663708,-0.019600466,0.040805742
-10.000000000,14.000000000,18.000000000,0.147470372,-0.019213722,0.038258788
-10.000000000,14.000000000,20.000000000,0.145152003,-0.018804931,0.035844131
-10.000000000,14.000000000,22.000000000,0.142715566,-0.018375321,0.033567573
-10.000000000,14.000000000,24.000000000,0.140168335,-0.017926175,0.031434832
-10.000000000,14.000000000,26.000000000,0.137517918,-0.017458835,0.029451481
-10.000000000,14.000000000,28.000000000,0.134772281,-0.016974705,0.027622897
-10.000000000,14.000000000,30.000000000,0.131939763,-0.016475256,0.025954204
-10.000000000,14.000000000,32.000000000,0.129029084,-0.015962025,0.024450222
-10.000000000,14.000000000,34.000000000,0.126049351,-0.015436618,0.023115418
-10.000000000,14.000000000,36.000000000,0.123010059,-0.014900708,0.021953846
-10.000000000,14.000000000,38.000000000,0.119921080,-0.014356038,0.020969099
-10.000000000,14.000000000,40.000000000,0.116792658,-0.013804413,0.020164252
-10.000000000,14.000000000,42.000000000,0.113635385,-0.013247700,0.019541804
-10.000000000,14.000000000,44.000000000,0.110460183,-0.012687827,0.019103621
-10.000000000,14.000000000,46.000000000,0.107278265,-0.012126769,0.018850877
-10.000000000,14.000000000,48.000000000,0.104101102,-0.011566549,0.018783999
-10.000000000,14.000000000,50.000000000,0.100940370,-0.011009227,0.018902604
-10.000000000,14.000000000,52.000000000,0.097807891,-0.010456886,0.019205447
-10.000000000,14.000000000,54.000000000,0.094715569,-0.009911626,0.019690361
-10.000000000,14.000000000,56.000000000,0.091675308,-0.009375546,0.020354216
-10.000000000,14.000000000,58.000000000,0.088698921,-0.008850729,0.021192864
-10.000000000,14.000000000,60.000000000,0.085798034,-0.008339224,0.022201112
-10.000000000,14.000000000,62.000000000,0.082983967,-0.007843028,0.023372689
-10.000000000,14.000000000,64.000000000,0.080267613,-0.007364062,0.024700232
-10.000000000,14.000000000,66.000000000,0.077659306,-0.006904147,0.026175286
-10.000000000,14.000000000,68.000000000,0.075168680,-0.006464982,0.027788323
-10.000000000,14.000000000,70.000000000,0.072804515,-0.006048116,0.029528778
-10.000000000,14.000000000,72.000000000,0.070574593,-0.005654921,0.031385105
-10.000000000,14.000000000,74.000000000,0.068485540,-0.005286564,0.033344870
-10.000000000,14.000000000,76.000000000,0.066542678,-0.004943986,0.035394853
-10.000000000,14.000000000,78.000000000,0.064749892,-0.004627869,0.037521196
-10.000000000,14.000000000,80.000000000,0.063109501,-0.004338624,0.039709564
-10.000000000,14.000000000,82.000000000,0.061622160,-0.004076365,0.041945347
